_ - DATA,_ - id,URL,_ - creationDate,_ - modificationDate,_ - type,_ - name,_ - leadImg,_ - title,_ - _ownSite,_ - text,_ - conditionDestroyed,_ - conditionTranslocated,_ - conditionDamaged,_ - conditionMissing,_ - conditionPaintedOver,_ - verbaleDating,_ - positionCeiling,_ - positionWall,_ - positionOnEquipment,_ - orientationEast,_ - orientationWest,_ - orientationNorth,_ - orientationSouth,_ - orientationCenter,_ - gender,_ - gnd,_ - locationLng,_ - locationLat,_ - addressState,_ - addressLocality,_ - addressCountry,_ - addressZip,_ - shortText,_ - addressStreet,_ - bildindex,_ - width,_ - length,_ - tempBibliography,_ - roomNumber,_ - signature,_ - height,_ - diameter,_ - images - images,_ - iconography - iconography,_ - productionMethods - productionMethods,_ - functions - functions,_ - productionMaterials - productionMaterials,_ - alternativeNames - alternativeNames,_ - tempImageLicense - license,_ - tempImageLicense - additionalLicenseHolderInfo,_ - conditionDestroyed - conditionDestroyed
6613cb8d-9637-4351-a8ac-295c175498d8,6613cb8d-9637-4351-a8ac-295c175498d8,https://www.deckenmalerei.eu/6613cb8d-9637-4351-a8ac-295c175498d8,1587198549853,1587198549853,OBJ#PERSON,Johann Mützel,,,,,,,,,,,,,,,,,,,male,120888432,,,,,,,,,,,,,,,,,,,,,,,,,
269522cf-755c-43a5-aa5c-88f4e5e14858,269522cf-755c-43a5-aa5c-88f4e5e14858,https://www.deckenmalerei.eu/269522cf-755c-43a5-aa5c-88f4e5e14858,1592597813602,1592597813602,OBJ#PERSON,Johann Mützel,,,,,,,,,,,,,,,,,,,male,120888432,,,,,,,,,,,,,,,,,,,,,,,,,
b06dc749-6321-46ff-a436-fa445d1090bb,b06dc749-6321-46ff-a436-fa445d1090bb,https://www.deckenmalerei.eu/b06dc749-6321-46ff-a436-fa445d1090bb,1620654118776,1625061592548,OBJ#PERSON,"Magdalena, Hohenlohe-Weikersheim, Gräfin ",,,,,,,,,,,,,,,,,,,female,122062345,,,,,,,,,,,,,,,,,,,,,,,,,
a965caef-8c71-433f-9d97-ba475591767c,a965caef-8c71-433f-9d97-ba475591767c,https://www.deckenmalerei.eu/a965caef-8c71-433f-9d97-ba475591767c,1625052952360,1625061532942,OBJ#PERSON,"Eleonore Magdalene, Hohenlohe-Weikersheim, Gräfin",,,,,,,,,,,,,,,,,,,female,122062345,,,,,,,,,,,,,,,,,,,,,,,,,
ebeec240-87b4-4d92-85b7-cf81a1e9e42c,ebeec240-87b4-4d92-85b7-cf81a1e9e42c,https://www.deckenmalerei.eu/ebeec240-87b4-4d92-85b7-cf81a1e9e42c,1601891606172,1601891606172,OBJ#PERSON,John I of Nassau-Weilburg,,,,,,,,,,,,,,,,,,,male,138720258,,,,,,,,,,,,,,,,,,,,,,,,,
5ff5d430-2359-4e2b-9cc6-5378d6011358,5ff5d430-2359-4e2b-9cc6-5378d6011358,https://www.deckenmalerei.eu/5ff5d430-2359-4e2b-9cc6-5378d6011358,1601891473807,1601891473807,OBJ#PERSON,John I of Nassau-Weilburg,,,,,,,,,,,,,,,,,,,male,138720258,,,,,,,,,,,,,,,,,,,,,,,,,
8296bf01-7780-43ad-af1f-4e55498682ef,8296bf01-7780-43ad-af1f-4e55498682ef,https://www.deckenmalerei.eu/8296bf01-7780-43ad-af1f-4e55498682ef,1594110495129,1594110495129,OBJ#PERSON,"Lucchese, Bartolomeo",,,,,,,,,,,,,,,,,,,male,138829640,,,,,,,,,,,,,,,,,,,,,,,,,
396f8b3d-6b1e-46c2-ab5b-a43382ffcb99,396f8b3d-6b1e-46c2-ab5b-a43382ffcb99,https://www.deckenmalerei.eu/396f8b3d-6b1e-46c2-ab5b-a43382ffcb99,1639662710229,1639662710229,OBJ#PERSON,"Lucchese, Bartolomeo",,,,,,,,,,,,,,,,,,,male,138829640,,,,,,,,,,,,,,,,,,,,,,,,,
1240f3f1-a683-40a9-b46e-7620c264f197,1240f3f1-a683-40a9-b46e-7620c264f197,https://www.deckenmalerei.eu/1240f3f1-a683-40a9-b46e-7620c264f197,1593509609120,1593509609120,OBJ#PERSON,Stephan Strahl,,,,,,,,,,,,,,,,,,,male,1070237108,,,,,,,,,,,,,,,,,,,,,,,,,
3658b85f-f0fe-449f-897b-75b44ac6b5fc,3658b85f-f0fe-449f-897b-75b44ac6b5fc,https://www.deckenmalerei.eu/3658b85f-f0fe-449f-897b-75b44ac6b5fc,1594650866272,1594650866272,OBJ#PERSON,Stephan Strahl,,,,,,,,,,,,,,,,,,,male,1070237108,,,,,,,,,,,,,,,,,,,,,,,,,
15e1eef0-c7e4-11e9-91e0-9bbdba1c3ce9,15e1eef0-c7e4-11e9-91e0-9bbdba1c3ce9,https://www.deckenmalerei.eu/15e1eef0-c7e4-11e9-91e0-9bbdba1c3ce9,1566811804511,1566811804511,OBJ#PERSON,Giovanni Carlone,,,,,,,,,,,,,,,,,,,male,1093884479,,,,,,,,,,,,,,,,,,,,,,,,,
